,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips
0,2020-01-21,1,0,2020-03-31,1228,32,53061
1,2020-01-24,1,0,2020-04-03,6473,141,17031
2,2020-01-25,1,0,2020-04-04,786,14,6059
3,2020-01-26,1,0,2020-04-05,1326,31,4013
4,2020-01-26,1,0,2020-04-05,5940,132,6037
5,2020-01-31,1,0,2020-04-10,1484,50,6085
6,2020-02-01,1,0,2020-04-11,4926,81,25025
7,2020-02-02,2,0,2020-04-12,875,14,6075
8,2020-02-05,1,0,2020-04-15,351,15,55025
9,2020-02-10,1,0,2020-04-20,2325,72,6073
10,2020-02-12,1,0,2020-04-22,1126,39,48029
11,2020-02-17,10,0,2020-04-27,476,14,31055
12,2020-02-20,1,0,2020-04-30,54,0,6023
13,2020-02-21,1,0,2020-05-01,1090,43,6067
14,2020-02-24,4,0,2020-05-04,378,22,53063
15,2020-02-24,1,0,2020-05-04,325,6,6095
16,2020-02-25,1,0,2020-05-05,2832,35,49035
17,2020-02-26,1,0,2020-05-06,286,4,6097
18,2020-02-26,1,0,2020-05-06,79,2,6055
19,2020-02-26,1,0,2020-05-06,244,14,6041
20,2020-02-28,1,0,2020-05-08,6942,487,53033
21,2020-02-28,1,0,2020-05-08,556,12,41067
22,2020-03-01,1,0,2020-05-10,776,74,12081
23,2020-03-01,1,0,2020-05-10,1432,37,12057
24,2020-03-01,1,0,2020-05-10,2085,75,6001
25,2020-03-02,1,0,2020-05-11,7004,661,25021
26,2020-03-02,1,0,2020-05-11,58,1,33009
27,2020-03-02,1,0,2020-05-11,104,2,53071
28,2020-03-02,2,0,2020-05-11,3516,145,13121
29,2020-03-02,1,0,2020-05-11,170,8,6061
30,2020-03-02,1,0,2020-05-11,1464,65,6081
31,2020-03-03,1,0,2020-05-12,1061,23,37183
32,2020-03-03,1,0,2020-05-12,1066,32,6013
33,2020-03-04,1,0,2020-05-13,17150,1409,34003
34,2020-03-04,9,0,2020-05-13,31610,1368,36119
35,2020-03-04,1,0,2020-05-13,1452,40,48157
36,2020-03-04,1,0,2020-05-13,165,7,53007
37,2020-03-05,1,0,2020-05-14,38743,2485,36059
38,2020-03-05,1,0,2020-05-14,1154,45,32031
39,2020-03-05,1,0,2020-05-14,5144,282,32003
40,2020-03-05,1,0,2020-05-14,456,10,47187
41,2020-03-05,4,0,2020-05-14,8817,193,48201
42,2020-03-05,3,0,2020-05-14,7588,437,24031
43,2020-03-05,1,0,2020-05-14,18381,1327,25017
44,2020-03-05,1,0,2020-05-14,180,9,12113
45,2020-03-05,1,0,2020-05-14,1748,107,8059
46,2020-03-05,1,0,2020-05-14,621,31,8035
