,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019
0,2020-01-21,1,0,2020-03-31,1228,32,53061,72,771904,143234,233454,130657,54070,393.99641884,822083
1,2020-01-24,1,0,2020-04-03,6473,141,17031,1606,5238541,1005046,2095418,317505,489235,5450.3843595,5150233
2,2020-01-25,1,0,2020-04-04,786,14,6059,651,3155816,598030,1242712,235247,317959,4005.6166459,3175692
3,2020-01-26,1,0,2020-04-05,1326,31,4013,1004,4155501,808534,1752902,40810,79525,487.50954904,4485414
4,2020-01-26,1,0,2020-04-05,5940,132,6037,2126,10105722,1800341,4182123,334665,483659,2473.5073498,10039107
5,2020-01-31,1,0,2020-04-10,1484,50,6085,313,1911226,338720,774537,118222,240720,1493.2046662,1927852
6,2020-02-01,1,0,2020-04-11,4926,81,25025,447,780685,125537,270497,123140,371770,13801.32086,803907
7,2020-02-02,2,0,2020-04-12,875,14,6075,337,864263,179193,353484,114866,307615,18795.223512,881549
8,2020-02-05,1,0,2020-04-15,351,15,55025,39,522837,93985,266491,15371,52187,456.91738082,546695
9,2020-02-10,1,0,2020-04-20,2325,72,6073,570,3283665,604412,1461512,43025,72833,792.91438376,3338330
10,2020-02-12,1,0,2020-04-22,1126,39,48029,648,1892004,307269,783313,45372,89600,1615.3697451,2003554
11,2020-02-17,10,0,2020-04-27,476,14,31055,187,549706,95539,236643,36735,89375,1750.3315009,571327
12,2020-02-20,1,0,2020-04-30,54,0,6023,32,135490,31200,55393,1146,1575,37.99127697,135558
13,2020-02-21,1,0,2020-05-01,1090,43,6067,396,1495400,279005,500893,115932,120790,1607.9350016,1552058
14,2020-02-24,4,0,2020-05-04,378,22,53063,113,490764,105082,199020,10084,18916,296.38858142,522798
15,2020-02-24,1,0,2020-05-04,325,6,6095,92,434981,90069,109059,75812,31582,544.70103033,447643
16,2020-02-25,1,0,2020-05-05,2832,35,49035,282,1106700,164497,490467,38273,116130,1563.7909353,1160437
17,2020-02-26,1,0,2020-05-06,286,4,6097,82,500943,124291,197589,37428,17940,313.74622239,494336
18,2020-02-26,1,0,2020-05-06,79,2,6055,32,141005,33686,51743,15258,22730,184.08552018,137744
19,2020-02-26,1,0,2020-05-06,244,14,6041,66,260814,72684,81726,43886,46516,497.3152999,258826
20,2020-02-28,1,0,2020-05-08,6942,487,53033,450,2118119,386511,977642,81556,247854,1065.0027467,2252782
21,2020-02-28,1,0,2020-05-08,556,12,41067,85,572071,100693,188061,83258,84068,830.61446109,601592
22,2020-03-01,1,0,2020-05-10,776,74,12081,90,363542,120595,96829,41125,19780,542.27582552,403253
23,2020-03-01,1,0,2020-05-10,1432,37,12057,432,1351087,257269,531016,74071,131673,1440.3883066,1471968
24,2020-03-01,1,0,2020-05-10,2085,75,6001,282,1629615,300276,462479,256588,237262,2266.8038359,1671329
25,2020-03-02,1,0,2020-05-11,7004,661,25021,59,694389,155147,154853,196195,175598,1784.3023037,706775
26,2020-03-02,1,0,2020-05-11,58,1,33009,54,89280,23734,35656,8356,20420,52.607970005,89886
27,2020-03-02,1,0,2020-05-11,104,2,53071,28,59862,13443,22801,2866,6521,47.841294958,60760
28,2020-03-02,2,0,2020-05-11,3516,145,13121,538,1010420,159840,341073,123502,496827,2019.9144194,1063937
29,2020-03-02,1,0,2020-05-11,170,8,6061,70,374985,92327,99291,60392,56930,283.09018519,398329
30,2020-03-02,1,0,2020-05-11,1464,65,6081,131,763450,161619,218300,160184,162092,1708.6818505,766573
31,2020-03-03,1,0,2020-05-12,1061,23,37183,175,1023811,157546,403532,88562,113096,1331.7237897,1111761
32,2020-03-03,1,0,2020-05-12,1066,32,6013,163,1123678,231404,283769,212044,88933,1608.6423209,1153526
33,2020-03-04,1,0,2020-05-13,17150,1409,34003,147,937920,211672,250231,199786,177837,4004.5571387,932202
34,2020-03-04,9,0,2020-05-13,31610,1368,36119,179,975321,214443,282569,171896,152533,2246.9377106,967506
35,2020-03-04,1,0,2020-05-13,1452,40,48157,128,711421,107897,112952,196726,57252,941.89227299,811688
36,2020-03-04,1,0,2020-05-13,165,7,53007,20,75138,18408,27608,4605,9594,26.427687744,77200
37,2020-03-05,1,0,2020-05-14,38743,2485,36059,461,1363069,318040,377465,276223,193326,4767.2768183,1356924
38,2020-03-05,1,0,2020-05-14,1154,45,32031,331,445551,95558,189113,15056,14255,74.652791386,471519
39,2020-03-05,1,0,2020-05-14,5144,282,32003,535,2112436,405618,896544,15993,21468,287.22956575,2266715
40,2020-03-05,1,0,2020-05-14,456,10,47187,28,212161,37356,57299,38360,58838,409.03186847,238412
41,2020-03-05,4,0,2020-05-14,8817,193,48201,918,4525519,651673,1886183,159527,461890,2762.5492191,4713325
42,2020-03-05,3,0,2020-05-14,7588,437,24031,150,1039198,209461,318911,213804,179278,2130.9408448,1050688
43,2020-03-05,1,0,2020-05-14,18381,1327,25017,216,1582857,319971,548665,268960,337744,1970.6497636,1611699
44,2020-03-05,1,0,2020-05-14,180,9,12113,16,166778,34353,33660,35923,7801,182.05920707,184313
45,2020-03-05,1,0,2020-05-14,1748,107,8059,94,564029,124374,140839,149058,96322,762.59696552,582881
46,2020-03-05,1,0,2020-05-14,621,31,8035,54,320940,50139,67951,89579,47964,417.91548841,351154
47,2020-03-06,1,0,2020-05-15,107,7,42127,8,51656,15447,11696,8969,5510,70.784131107,51361
48,2020-03-06,1,0,2020-05-15,5409,466,42045,100,563384,123831,138021,124591,75980,3083.2498462,566747
49,2020-03-06,1,0,2020-05-15,752,37,40143,379,637123,120771,274047,23216,85413,1142.9119618,651552
50,2020-03-06,2,0,2020-05-15,12637,434,36087,39,325027,66379,84101,58448,31002,1878.3505416,325789
51,2020-03-06,1,0,2020-05-15,5255,262,34007,199,510996,104370,120977,114556,75864,2288.1000494,506471
52,2020-03-06,1,0,2020-05-15,501,10,45019,221,387847,82073,160740,21435,81036,448.18214778,411406
53,2020-03-06,1,0,2020-05-15,1287,61,27123,135,537893,102817,143064,118682,180547,3614.7495441,550321
54,2020-03-06,1,0,2020-05-15,1772,66,53053,189,845193,157501,263500,109312,63098,542.53805418,904980
55,2020-03-06,1,0,2020-05-15,29,0,53031,6,30524,13626,9318,1783,1326,17.863595903,32221
56,2020-03-06,1,0,2020-05-15,401,25,53011,90,457474,92850,129918,67262,21720,776.85533336,488241
57,2020-03-06,1,0,2020-05-15,165,0,49053,32,155577,40002,53020,3587,2954,73.145411344,177556
58,2020-03-06,1,0,2020-05-15,354,2,49011,22,334977,45623,79324,68831,34746,1188.6425946,355481
59,2020-03-06,1,0,2020-05-15,261,12,45055,10,63734,15574,13630,12433,5901,91.590862268,66551
60,2020-03-06,1,0,2020-05-15,495,24,37037,4,68364,20511,11803,17017,5570,109.23828497,74470
61,2020-03-06,1,0,2020-05-15,670,28,4021,22,405537,100086,66064,65672,17022,86.243934534,462789
62,2020-03-06,1,0,2020-05-15,182,22,6113,14,212605,34981,57362,32756,46807,217.29866745,220500
63,2020-03-06,2,0,2020-05-15,4452,248,8031,227,678467,109403,210947,132233,280068,4743.9552682,727211
64,2020-03-06,1,0,2020-05-15,532,12,21067,260,315109,55235,130876,23461,53687,1139.3160414,323152
65,2020-03-06,1,0,2020-05-15,8082,500,18097,526,939964,160942,349286,79876,205245,2432.3168245,964582
66,2020-03-06,1,0,2020-05-15,78,0,13233,0,41444,8705,9288,6548,3535,137.31381163,42613
67,2020-03-06,1,0,2020-05-15,414,11,15003,148,990060,218287,481909,3507,4773,1622.7267286,974563
68,2020-03-06,1,1,2020-05-15,1384,74,12071,141,700165,239488,225044,33214,18353,986.07766533,770577
69,2020-03-06,2,0,2020-05-15,6133,272,12011,587,1890416,406732,668801,204778,129438,1623.499921,1952778
70,2020-03-06,1,0,2020-05-15,1251,83,8041,95,674826,116223,294394,17796,17830,338.71841276,720403
71,2020-03-06,1,0,2020-05-15,566,8,8037,5,53726,8107,26068,5064,3654,32.726608698,55127
72,2020-03-07,2,0,2020-05-16,423,3,36091,19,226632,52232,61985,51176,24432,283.78298772,229863
73,2020-03-07,1,0,2020-05-16,41,0,41035,0,66018,18095,23764,1658,911,11.482571274,68238
74,2020-03-07,2,0,2020-05-16,50,0,41029,50,212070,60113,81318,4002,4806,79.383302602,220944
75,2020-03-07,1,0,2020-05-16,4106,329,29189,468,999539,235062,343934,139112,234558,1959.2565868,994205
76,2020-03-07,2,0,2020-05-16,5797,614,42091,215,818677,190034,261962,148959,213123,1720.4403096,830915
77,2020-03-07,1,0,2020-05-16,51,0,53037,6,43726,9312,16359,2949,1288,20.865716698,47935
78,2020-03-07,1,0,2020-05-16,7386,278,51059,178,1142004,205097,324518,278265,289947,2934.8116361,1147532
79,2020-03-07,1,0,2020-05-16,60,1,50003,10,36054,10413,14897,1709,4494,52.548430542,35470
80,2020-03-07,1,0,2020-05-16,1095,60,33015,43,302479,69798,88226,74176,58826,445.46308918,309769
81,2020-03-07,1,0,2020-05-16,149,3,6087,22,273263,57232,99105,29040,18034,613.82863485,273213
82,2020-03-07,1,0,2020-05-16,5618,255,6065,351,2355002,437180,622846,275801,104732,342.703209,2470546
83,2020-03-07,1,0,2020-05-16,71,2,6039,10,154440,28392,30551,13657,13802,73.62298192,157327
84,2020-03-07,1,0,2020-05-16,1192,16,6019,164,971616,157757,328935,31408,32321,167.6799017,999101
85,2020-03-07,1,0,2020-05-16,495,37,25003,24,127751,37339,57613,4495,5606,134.8010402,124944
86,2020-03-07,1,0,2020-05-16,648,56,20091,110,578797,110038,207529,89627,110002,1271.9107791,602401
87,2020-03-07,1,0,2020-05-16,2407,132,13067,119,739072,120689,206626,154218,133345,2237.0896015,760141
88,2020-03-07,1,0,2020-05-16,591,30,12127,148,518660,160876,156522,39807,18643,502.41804154,553284
89,2020-03-07,1,0,2020-05-16,2597,102,13135,82,889954,122430,235117,165900,119359,2174.1752753,936250
90,2020-03-07,1,0,2020-05-16,176,5,12091,57,197591,41694,81035,10334,19014,226.54514971,210738
91,2020-03-07,1,0,2020-05-16,370,41,12015,51,173236,81236,39077,16049,9928,277.35736469,188910
93,2020-03-08,1,0,2020-05-17,1552,42,36111,25,180129,45203,55761,27571,12261,157.94992078,177573
94,2020-03-08,1,0,2020-05-17,38117,1799,36103,281,1497595,326104,548500,172968,85628,1619.4232899,1476601
95,2020-03-08,1,0,2020-05-17,827,23,41047,68,330453,68700,107484,27187,33410,294.62141393,347818
96,2020-03-08,1,0,2020-05-17,25,0,41019,32,107576,35360,35686,2827,2002,22.038774258,110980
97,2020-03-08,1,0,2020-05-17,15205,838,34031,97,510563,98279,104794,120448,79428,2697.8238848,501826
98,2020-03-08,1,0,2020-05-17,113,2,27019,25,98799,15454,20578,30997,19578,296.69689409,105089
